Treatment	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella	salmonella
X.SampleID	11-(-2)-S-F-AK	11-(10)-S-F-GE	12-(-2)-S-F-AL	12-(10)-S-F-GF	13-(-1)-S-F-CK	13-(-2)-S-F-AM	13-(0)-S-F-EI	13-(10)-S-F-GG	13-(11)-S-F-KE	13-(12)-S-F-MC	15-(-1)-S-F-CM	15-(-2)-S-F-AO	15-(0)-S-F-EK	15-(10)-S-F-GI	15-(11)-S-F-KG	15-(12)-S-F-ME	16-(-1)-S-F-CN	16-(-2)-S-F-AP	16-(0)-S-F-EL	16-(10)-S-F-GJ	16-(11)-S-F-KH	16-(12)-S-F-MF	17-(-2)-S-F-AQ	17-(10)-S-F-GK	18-(-2)-S-F-AR	18-(10)-S-F-GL	20-(-1)-S-F-CR	20-(-2)-S-F-AT	20-(0)-S-F-EP	20-(10)-S-F-GN	20-(11)-S-F-KL	20-(12)-S-F-MJ	21-(10)-S-F-GO	22-(-2)-S-F-AV	22-(10)-S-F-GP	27-(-1)-S-F-CY	27-(-2)-S-F-BA	27-(0)-S-F-EW	27-(10)-S-F-GU	27-(11)-S-F-KS	5-(10)-S-F-FY
 Erysipelatoclostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000402427982159026	0.000304796738674896	0	0	0.000729090719716696	0	0	0.00342144306173737	0	0	0	0	0	0	0	0	0	0.000145677034015587	0	0.000376026842531528	0.00164920450135817	0.00430406987784037	0
 Erysipelatoclostridium	0.00818679918450561	0	0.000444736229060336	0.0174234625795875	0	0	0	0.000379927180623714	0	0	0	0.00111854548412682	0.00236137834528599	0	0	0	0	0.00103972967028573	0.00744491766994198	0.0163066255191069	0	0	0.0294500572856994	6.69030574697264e-05	0.00448681996634885	0.0579223059920671	0.00233887733887734	0.0049243756595146	0.00138888888888889	0.000267083826166584	7.55972180223768e-05	0	0.00270876144218195	0.00644122383252818	0	0.00364192585038969	0.000282725473565168	0.00384704385051487	0.0199198033889536	0.0157604911703272	0
 Erysipelothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Erysipelotrichaceae	0.00047782874617737	0	0.000592981638747114	0	0.000695531211963137	0.000554589225843858	0	0	0	0	0	0.000305057859307315	0.00100577225817737	0	0	0	0	0.00013996360946154	0.00171031892417586	0.000800091439021602	0	0	0.00257785647328403	0	0	0	0.000118125118125118	0	0.000478927203065134	0	0	0	0	0	0	0.000418821472794814	0	0.000376026842531528	0	0	0
 Erysipelotrichaceae_UCG-003	0	0	0	0	0	0	0	0.0010131391483299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Eubacterium_brachy_group	0	0	0.000211779156695398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100606995539757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Eubacterium_coprostanoligenes_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Eubacterium_nodatum_group	0.000191131498470948	0	0	0	0	7.56258035241624e-05	0	0	0	0	0	0.000223709096825365	0	0	0	0	0	0.000299922020274729	0.000368892316979107	0	0	0	0.000312467451307156	0	0	0.000545008629303297	0.000236250236250236	0.000904477161951661	0	0	0	0	0	0	0	0.000127467404763639	0.000102809263114607	0.000318176559065139	0	0.000284828153680613	0
 Eubacterium_oxidoreducens_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Eubacterium_ventriosum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023197370964624	0	0	0	0	0	0	0	0	0
 Eubacterium_xylanophilum_group	0.00560652395514781	0	0.00188483449458904	0	0.00691184141888367	0.00438629660440142	0.00705361497767606	0	0	0	0.038367255979795	0.0319090520835452	0.00874584572328144	0	0	0	0.0179345389328949	0.0248135484773959	0.0196518997954324	0	0	0	0.00260389542755963	0	0.0257992148065059	0	0.0174825174825175	0.00814029445756495	0.00603448275862069	0	0	0	0	0.0123456790123457	0	0.00917765314298201	0.0117202559950652	0	0	0	0
